latitude longitude arsenic censor depth_m year_made year_observed
24.361 88.706 21 0 32 1993 1998
24.511 88.625 6 1 38 1992 1998
24.367 88.687 6 1 33 1996 1998
24.299 88.966 6 1 36 1985 1998
24.202 88.999 6 1 41 1985 1998
24.319 89.192 6 1 39 1992 1998
24.368 89.237 6 1 36 1995 1998
24.37 89.054 6 1 34 1975 1998
24.225 89.296 6 1 42 1991 1998
24.087 89.227 6 1 14 1989 1998
24.072 89.626 10 0 26 1995 1998
24.159 89.448 6 1 39 1989 1998
24.218 89.396 6 1 39 1996 1998
24.028 89.251 6 1 31 1975 1998
24.16 89.026 9 0 24 1995 1998
23.614 91.102 6 1 125 1984 1998
23.536 90.716 411 0 25 1989 1998
23.489 91.007 118 0 125 1984 1998
23.713 90.878 278 0 24 1987 1998
23.18 91.244 64 0 23 1993 1998
23.207 90.688 641 0 20 1990 1998
23.553 91.128 9 0 35 1982 1998
23.702 91.047 127 0 30 1998 1998
23.225 91.317 6 1 30 1995 1998
23.682 90.784 73 0 25 1985 1998
23.235 91.117 98 0 98 1994 1998
23.425 91.134 6 1 49 1996 1998
23.34 90.89 30 0 98 1979 1998
23.432 90.604 391 0 25 1981 1998
23.136 90.746 6 1 251 1998 1998
23.097 90.86 6 1 282 1997 1998
23.391 91.101 6 1 34 1990 1998
23.25 90.878 194 0 98 1984 1998
23.086 90.644 6 0 221 1998 1998
22.651 90.92 6 1 308 1997 1998
23.031 90.694 375 0 14 1997 1998
22.381 90.686 6 1 330 1993 1998
22.829 91.094 143 0 14 1995 1998
23.191 90.958 233 0 23 1985 1998
22.87 91.276 33 0 9 1995 1998
23.039 91.52 13 0 244 1988 1998
22.413 90.851 6 1 285 1979 1998
22.945 91.06 66 0 14 1992 1998
23.061 90.969 71 0 14 1984 1998
22.879 91.235 6 0 292 1986 1998
23.029 91.404 16 0 18 1992 1998
23.188 91.435 22 0 22 1985 1998
22.958 91.289 98 0 15 1980 1998
21.971 91.955 6 1 203 1996 1998
22.343 91.804 6 1 184 1970 1998
22.349 91.837 6 1 52 1997 1998
23.067 91.4353 6 0 33 1995 1998
22.936 91.376 166 0 20 1994 1998
22.228 91.902 8 0 44 1988 1998
22.361 91.804 6 1 52 1980 1998
22.29 91.783 16 0 21 1992 1998
21.619 92.069 6 1 197 1993 1998
21.247 92.138 6 1 164 1981 1998
21.521 91.97 6 1 20 1990 1998
22.368 91.843 6 1 64 1998 1998
22.347 91.852 80 0 30 1990 1998
20.875 92.295 6 1 8 1983 1998
21.426 92.009 6 1 40 1984 1998
24.43 91.904 254 0 49 1985 1998
24.431 91.934 8 0 54 1994 1998
24.814 91.759 53 0 56 1963 1998
24.88 92.369 80 0 27 1984 1998
24.593 91.691 133 0 113 1997 1998
24.522 91.859 91 0 58 1989 1998
24.652 91.823 139 0 91 1994 1998
24.822 92.122 6 1 51 1991 1998
24.308 91.738 15 0 105 1996 1998
24.691 92.188 6 1 49 1985 1998
24.697 91.937 6 1 34 1989 1998
24.831 92.044 6 1 38 1995 1998
25.01 92.258 151 0 47 1984 1998
25.089 91.76 73 0 79 1994 1998
25.057 91.39 50 0 134 1997 1998
25.031 91.663 246 0 110 1996 1998
25.135 92.132 6 1 10 1986 1998
24.99 92.046 6 1 38 1980 1998
24.89 91.873 6 1 64 1997 1998
24.794 91.578 23 0 126 1996 1998
24.195 91.522 6 1 72 1994 1998
24.317 91.328 6 1 49 1965 1998
24.289 91.566 6 1 41 1997 1998
24.098 91.322 6 1 36 1984 1998
24.397 91.427 17 0 50 1998 1998
24.575 91.513 50 0 144 1983 1998
24.122 91.083 8 0 43 1997 1998
23.984 91.109 105 0 53 1984 1998
23.672 91.159 8 0 29 1997 1998
24.196 91.198 6 1 49 1995 1998
23.866 91.214 6 1 22 1984 1998
23.467 90.334 133 0 92 1984 1998
23.542 90.607 120 0 13 1983 1998
23.572 90.374 529 0 55 1982 1998
23.488 90.551 6 1 76 1995 1998
23.552 90.209 104 0 60 1975 1998
23.543 90.463 263 0 47 1995 1998
23.769 90.76 115 0 28 1994 1998
23.808 90.888 326 0 29 1986 1998
22.613 91.645 151 0 19 1990 1998
22.777 91.57 229 0 15 1984 1998
21.427 92.083 6 1 225 1997 1998
23.746 90.545 0.5 1 34 1989 1998
25.091 91.984 21.3 0 63 1985 1998
22.803 89.579 0.5 1 213 1996 1998
23.041 89.635 20.9 0 57 1989 1998
22.651 89.882 18.8 0 24 1989 1998
22.747 89.84 176 0 29 1979 1998
23.113 89.5 1.5 0 53 1994 1998
23.486 89.421 37.5 0 54 1976 1998
22.715 90.352 279 0 22 -1 1998
22.893 90.506 1.5 0 30 1996 1998
23.546 89.163 26.3 0 125 1985 1998
23.967 89.043 26.5 0 62 1994 1998
23.051 90.201 26.4 0 46 1990 1998
22.536 90.35 0.5 1 345 1998 1998
22.773 90.142 11.5 0 21 1994 1998
22.821 90.252 2 0 292 1998 1998
22.143 90.21 1.1 0 285 1997 1998
22.707 89.977 270 0 11 1996 1998
