Player,Pos,Age,Tm,year,G,GS,MP,X3PA,X3P.,X2PA,X2P.,FTA,FT.,ORB,DRB,AST,STL,BLK,TOV,PF,PER,USG.,WS.48,VORP
Steve Blake,PG,29,POR,2010,51,28,1397,207,37.7,148,43.9,32,75,15,103,203,37,2,65,84,11.2,14.8,0.082,0.6
Steve Blake,PG,29,LAC,2010,29,10,762,87,43.7,80,45,16,75,6,63,177,21,4,63,39,12.3,14.1,0.058,-0.3
Andray Blatche,PF,23,WAS,2010,81,36,2256,44,29.5,955,48.699999999999996,234,74.4,158,351,170,85,71,182,218,17.6,25.8,0.073,1.5
Keith Bogans,SF,29,SAS,2010,79,50,1559,196,35.699999999999996,102,49,50,74,25,151,95,45,12,53,156,7.7,11,0.081,0.8
Andrew Bogut,C,25,MIL,2010,69,69,2229,2,0,908,52.1,237,62.9,208,493,127,39,175,131,222,20.7,23.3,0.161,3
Matt Bonner,PF,29,SAS,2010,65,8,1161,231,39,141,53.900000000000006,48,72.89999999999999,52,162,68,30,24,39,109,14.9,17,0.153,1.3
Chris Bosh,C,25,TOR,2010,70,70,2526,22,36.4,1136,52.1,590,79.7,205,554,166,43,68,169,170,25,28.7,0.182,2.7
Earl Boykins,PG,33,WAS,2010,67,1,1117,60,31.7,343,44.6,89,86.5,17,58,171,24,3,69,48,12.9,20.7,0.042,-0.8
Elton Brand,PF,30,PHI,2010,76,57,2297,1,0,857,48.1,233,73.8,179,282,109,82,80,131,232,15.7,21.7,0.073,0.5
Corey Brewer,SG,23,MIN,2010,82,82,2482,237,34.599999999999994,712,45.9,256,64.8,70,209,193,117,29,164,224,12.1,21.5,0.02,0.2
Ronnie Brewer,SG,24,UTA,2010,53,53,1662,31,25.8,385,51.4,128,63.3,44,136,151,85,15,51,80,12.8,14.1,0.108,1.4
Aaron Brooks,PG,25,HOU,2010,82,82,2919,525,39.800000000000004,806,45.4,298,82.19999999999999,54,161,434,69,14,232,199,16,25.7,0.091,1.6
Bobby Brown,PG,25,NOH,2010,22,0,328,66,25.8,86,50,8,100,1,17,46,9,1,24,28,10,25,-0.026,-0.4
Bobby Brown,PG,25,LAC,2010,23,0,191,32,28.1,53,35.8,7,71.39999999999999,8,12,42,6,0,22,14,8.2,26.1,-0.092,-0.2
Derrick Brown,SF,22,CHA,2010,57,0,535,7,28.599999999999998,140,47.099999999999994,72,66.7,31,47,19,21,10,19,53,12.6,17.2,0.114,0
Devin Brown,SG,31,NOH,2010,39,37,967,147,36.7,178,41.6,86,80.2,27,82,58,30,5,57,62,10.9,19.8,0.031,-0.1
Kwame Brown,C,27,DET,2010,48,1,660,1,0,123,50.4,98,33.7,53,124,22,15,12,43,93,7.9,14.7,-0.009,-0.6
Shannon Brown,SG,24,LAL,2010,82,7,1700,189,32.800000000000004,403,47.4,121,81.8,30,153,108,57,31,67,129,12.4,18.8,0.096,0.3
Kobe Bryant,SG,31,LAL,2010,73,73,2835,301,32.9,1268,48.699999999999996,541,81.10000000000001,78,313,365,113,20,233,187,21.9,32.3,0.16,4
Chase Budinger,SF,21,HOU,2010,74,4,1488,249,36.9,316,49.7,87,77,38,182,88,34,11,48,85,14.1,19.4,0.1,0.3
Caron Butler,SF,29,WAS,2010,47,47,1853,95,26.3,599,44.7,211,87.7,68,248,107,68,15,113,126,13.5,22,0.054,0.6
Caron Butler,SG,29,DAL,2010,27,27,930,50,34,307,45.6,104,76,36,109,49,48,9,47,67,14.2,22.3,0.075,0.4
Rasual Butler,SF,30,LAC,2010,82,64,2702,432,33.6,438,48.199999999999996,145,84.1,39,201,116,36,68,79,121,10.7,17,0.048,0.3
Andrew Bynum,C,22,LAL,2010,65,65,1977,1,0,687,57.099999999999994,261,73.9,177,364,68,35,94,115,193,20.2,20.8,0.188,1.7
Will Bynum,PG,27,DET,2010,63,20,1667,55,21.8,479,47,178,79.80000000000001,24,118,283,55,7,115,143,13.8,20.1,0.054,-0.2
Jose Calderon,PG,28,TOR,2010,68,39,1817,171,39.800000000000004,397,51.9,104,79.80000000000001,23,119,404,47,7,99,135,16.5,17.9,0.111,0.6
Marcus Camby,PF,35,LAC,2010,51,51,1596,6,33.300000000000004,350,46.9,91,65.9,166,450,151,69,99,64,105,18.3,13,0.137,2.7
Marcus Camby,C,35,POR,2010,23,23,718,1,0,144,50,31,58.099999999999994,83,172,35,26,47,27,56,17,12.3,0.152,1.2
Brian Cardinal,PF,32,MIN,2010,29,0,267,9,33.300000000000004,27,40.699999999999996,18,94.39999999999999,7,22,24,9,3,7,56,6.9,8.3,0.071,-0.1
Rodney Carney,SG,25,PHI,2010,68,0,857,135,30.4,147,49,63,82.5,26,111,37,25,20,21,79,12.7,17.6,0.082,-0.1
DeMarre Carroll,SF,23,MEM,2010,71,1,795,6,0,216,40.699999999999996,53,62.3,53,97,33,28,9,24,107,8.5,14.8,0.031,-0.4
Matt Carroll,SG,29,DAL,2010,25,0,121,19,21.099999999999998,31,45.2,6,100,4,8,6,5,0,7,13,7.1,22.7,-0.029,-0.1
Anthony Carter,PG,34,DEN,2010,54,7,859,63,27,118,50,13,84.6,17,72,160,39,13,58,72,10.3,12.6,0.051,0
Vince Carter,SG,33,ORL,2010,75,74,2310,324,36.7,691,45.6,306,84,33,260,236,53,18,106,189,17.1,25.2,0.154,2.2
Omri Casspi,SF,21,SAC,2010,77,31,1931,203,36.9,469,48,174,67.2,75,274,95,54,17,98,125,13,19.4,0.063,-0.1
Mario Chalmers,PG,23,MIA,2010,73,22,1807,236,31.8,218,49.1,110,74.5,25,110,246,91,12,123,175,10.7,16.3,0.072,0.7
Wilson Chandler,SG,22,NYK,2010,65,64,2320,150,26.700000000000003,710,52.400000000000006,160,80.60000000000001,93,255,138,46,49,108,184,13.7,20.2,0.057,0.1
Earl Clark,PF,22,PHO,2010,51,0,383,5,40,146,37,36,72.2,18,44,21,7,13,23,25,8.5,21.9,-0.033,-0.5
Jason Collins,C,31,ATL,2010,24,0,115,1,0,22,36.4,2,0,5,9,4,3,2,5,21,0.9,11.6,-0.044,-0.1
Mardy Collins,SG,25,LAC,2010,43,0,470,17,23.5,111,38.7,21,61.9,13,37,44,23,1,32,45,5.7,16.3,-0.049,-0.5
Darren Collison,PG,22,NOH,2010,76,37,2109,115,40,674,49,174,85.1,41,151,432,78,4,202,92,16.5,23.1,0.067,0.2
Nick Collison,C,29,OKC,2010,75,5,1557,4,25,305,59.3,107,69.19999999999999,152,232,38,37,48,63,230,13.1,12.1,0.146,1
Mike Conley,PG,22,MEM,2010,80,80,2569,212,38.7,618,46.400000000000006,187,74.3,30,161,425,109,12,170,178,13.9,18.4,0.074,0.8
Will Conroy,PG,27,HOU,2010,5,0,36,3,0,7,42.9,2,0,0,3,7,0,0,4,5,-2.4,18.3,-0.192,-0.1
Brian Cook,PF,29,HOU,2010,15,0,44,9,22.2,14,35.699999999999996,7,71.39999999999999,1,8,1,0,2,6,5,2.4,32.2,-0.191,-0.2
