Player,Pos,Age,Tm,year,G,GS,MP,X3PA,X3P.,X2PA,X2P.,FTA,FT.,ORB,DRB,AST,STL,BLK,TOV,PF,PER,USG.,WS.48,VORP
Blake Griffin,PF,21,LAC,2011,82,82,3112,24,29.2,1352,51,695,64.2,270,719,312,63,45,223,252,21.9,27.3,0.152,4
Hamed Haddadi,C,25,MEM,2011,31,0,168,1,0,57,52.6,23,65.2,24,44,5,2,13,11,29,19.7,21.2,0.164,0
Richard Hamilton,SG,32,DET,2011,55,39,1498,144,38.2,527,44.2,172,84.89999999999999,24,102,171,39,4,88,95,15.8,26,0.059,-0.2
Tyler Hansbrough,PF,25,IND,2011,70,29,1535,2,0,611,46.6,253,77.9,145,221,41,37,15,76,160,16.4,23.1,0.118,-0.5
Luke Harangody,PF,23,BOS,2011,28,0,241,10,20,61,42.6,8,62.5,17,38,10,4,7,5,36,8.7,15.8,0.075,-0.1
Luke Harangody,PF,23,CLE,2011,21,0,399,56,25,79,46.800000000000004,18,77.8,23,65,20,11,10,11,44,11,17.5,0.032,-0.1
James Harden,SG,21,OKC,2011,82,5,2189,324,34.9,360,51.4,343,84.3,42,213,176,92,24,106,207,16.4,19.5,0.156,2.4
Al Harrington,PF,30,DEN,2011,73,3,1665,328,35.699999999999996,347,47.3,117,73.5,76,256,101,39,10,106,202,12.3,22.3,0.06,0.4
Devin Harris,PG,27,NJN,2011,54,54,1724,110,30,502,45.2,307,84,11,118,411,57,5,158,130,17.6,24.4,0.096,0.5
Devin Harris,PG,27,UTA,2011,17,16,530,70,35.699999999999996,131,44.3,95,81.10000000000001,6,34,92,13,2,49,33,15.7,25.2,0.068,-0.1
Manny Harris,SG,21,CLE,2011,54,15,933,92,37,197,37.6,93,76.3,36,104,85,31,7,63,65,10.4,19.1,0.002,-0.4
Spencer Hawes,C,22,PHI,2011,81,81,1718,37,24.3,531,48,88,53.400000000000006,129,336,121,29,71,97,201,12.8,18.9,0.066,0.3
Chuck Hayes,C,27,HOU,2011,74,63,2079,2,0,461,52.900000000000006,142,66.2,219,380,202,79,49,86,200,16.2,13,0.146,3
Gordon Hayward,SF,20,UTA,2011,72,17,1218,74,47.3,219,48.9,97,71.1,41,98,81,30,19,70,106,10.7,15.3,0.048,-0.2
Lazar Hayward,SF,24,MIN,2011,42,0,419,60,28.299999999999997,94,40.400000000000006,42,78.60000000000001,23,47,28,12,7,19,44,10.8,19.5,0.035,-0.2
Brendan Haywood,C,31,DAL,2011,72,8,1331,1,0,222,57.699999999999996,177,36.199999999999996,129,247,19,16,74,51,146,11.7,12.4,0.104,0.3
Luther Head,PG,28,SAC,2011,36,14,586,64,39.1,100,43,50,78,16,44,70,10,9,32,43,11.7,16.1,0.073,-0.1
Gerald Henderson,SG,23,CHA,2011,68,30,1661,36,19.400000000000002,534,47.199999999999996,163,78.5,49,158,101,50,32,64,118,13.2,19.9,0.068,-0.1
Xavier Henry,SG,19,MEM,2011,38,16,527,17,11.799999999999999,143,44.1,52,63.5,9,28,18,11,3,13,48,7,16.8,0.021,-0.5
Roy Hibbert,C,24,IND,2011,81,80,2244,4,0,886,46.300000000000004,275,74.5,182,428,166,33,142,185,256,15.9,23.6,0.077,1
J.J. Hickson,C,22,CLE,2011,80,66,2256,5,0,931,46.1,367,67.30000000000001,217,478,91,48,54,173,215,15.6,25.5,0.032,-1.3
Nene Hilario,C,28,DEN,2011,75,75,2291,5,20,649,61.8,402,71.1,145,426,149,84,73,134,238,20.4,18.8,0.201,3.8
George Hill,PG,24,SAS,2011,76,5,2148,204,37.7,429,49,270,86.3,24,175,193,66,21,99,153,14.6,18.2,0.136,1.7
Grant Hill*,SF,38,PHO,2011,80,80,2409,114,39.5,711,49.8,257,82.89999999999999,77,261,200,64,35,134,184,14.7,20.1,0.087,1.5
Jordan Hill,C,23,HOU,2011,72,11,1125,2,0,350,49.4,85,70.6,128,178,29,14,52,62,157,13,17.7,0.079,-0.4
Kirk Hinrich,SG,30,WAS,2011,48,29,1471,112,38.4,326,47.5,105,87.6,14,115,210,56,10,84,119,13.5,17.1,0.076,0.3
Kirk Hinrich,PG,30,ATL,2011,24,22,686,76,42.1,109,44,21,66.7,7,46,78,19,7,37,66,9.8,16,0.05,0
Jrue Holiday,PG,20,PHI,2011,82,82,2901,222,36.5,777,47,209,82.3,68,264,531,120,29,218,203,15.4,20.8,0.094,2.5
Al Horford,C,24,ATL,2011,77,77,2704,4,50,917,55.7,188,79.80000000000001,182,536,266,59,80,119,193,20.7,19.7,0.179,4.4
Eddie House,SG,32,MIA,2011,56,1,978,175,38.9,146,41.099999999999994,40,95,9,83,62,32,3,29,68,11.9,17.6,0.108,0.2
Dwight Howard,C,25,ORL,2011,78,78,2935,7,0,1037,59.699999999999996,916,59.599999999999994,309,789,107,107,186,279,258,26.1,27.2,0.235,5
Josh Howard,SF,30,WAS,2011,18,10,409,29,24.099999999999998,133,38.3,47,61.7,18,56,24,13,5,20,34,9.2,21.9,-0.027,-0.4
Lester Hudson,PG,26,WAS,2011,11,0,73,15,26.700000000000003,9,22.2,4,50,1,4,17,4,1,7,10,6,19.8,-0.082,-0.1
Kris Humphries,PF,25,NJN,2011,74,44,2061,1,0,582,52.7,191,66.5,225,546,84,33,80,103,168,17.8,17.3,0.125,1
Serge Ibaka,PF,21,OKC,2011,82,44,2216,1,0,616,54.400000000000006,184,75,214,408,22,31,198,71,267,17.7,15.7,0.164,1.1
Andre Iguodala,SF,27,PHI,2011,67,67,2469,181,33.7,578,47.9,300,69.3,61,326,422,101,38,138,109,17.2,19.2,0.13,3.2
Zydrunas Ilgauskas,C,35,MIA,2011,72,51,1145,1,0,318,50.9,46,78.3,108,179,26,23,58,52,185,12.8,16,0.122,0.1
Ersan Ilyasova,PF,23,MIL,2011,60,34,1505,121,29.799999999999997,386,47.9,104,89.4,105,260,56,51,24,63,159,14.3,19.1,0.121,0.7
Royal Ivey,SG,29,OKC,2011,25,0,155,16,43.8,22,40.9,2,100,2,14,7,6,1,5,17,8.2,12.8,0.06,0
Jarrett Jack,PG,27,TOR,2011,13,13,347,24,16.7,98,44.9,46,87,6,36,59,14,0,34,25,12.6,22.8,0.002,-0.1
Jarrett Jack,SG,27,NOH,2011,70,2,1375,84,34.5,431,42.5,168,84.5,14,117,183,40,6,76,77,14.6,23.1,0.082,0
Darnell Jackson,PF,25,SAC,2011,59,2,486,11,27.3,147,50.3,49,61.199999999999996,49,45,14,12,3,23,61,12.3,18,0.069,-0.3
Stephen Jackson,SG,32,CHA,2011,67,67,2405,359,33.7,700,44.9,305,81.6,53,251,241,80,28,209,161,14.6,27.4,0.039,1.1
Damion James,SF,23,NJN,2011,25,9,403,3,0,100,46,28,64.3,17,68,20,16,12,25,36,10.1,16.2,0.015,-0.1
LeBron James,SF,26,MIA,2011,79,79,3063,279,33,1206,55.2,663,75.9,80,510,554,124,50,284,163,27.3,31.5,0.244,8.2
Antawn Jamison,PF,34,CLE,2011,56,38,1842,263,34.599999999999994,613,46.2,234,73.1,86,289,93,50,30,77,137,16.8,26,0.067,0.5
Othyus Jeffers,SG,25,WAS,2011,16,1,314,4,25,58,50,46,65.2,25,40,19,17,0,13,31,13.7,13.4,0.104,0.1
Richard Jefferson,SF,30,SAS,2011,81,81,2459,307,44,335,50.4,195,75.9,54,256,107,38,34,93,164,12.4,15.4,0.115,2
Jared Jeffries,PF,29,HOU,2011,18,0,138,6,16.7,30,33.300000000000004,10,40,20,15,11,7,3,4,21,9.5,14.2,0.042,0
Jared Jeffries,PF,29,NYK,2011,24,9,463,3,33.300000000000004,47,38.3,19,42.1,42,39,25,24,14,17,54,7.6,7.2,0.046,0.3
Brandon Jennings,PG,21,MIL,2011,63,61,2169,303,32.300000000000004,623,42.199999999999996,246,80.9,42,192,305,95,21,146,131,15.6,25.5,0.086,2.1
Eugene Jeter,PG,27,SAC,2011,62,1,858,30,20,229,43.7,41,90.2,9,61,162,29,2,51,54,11.1,16.5,0.037,-0.7
Yi Jianlian,PF,23,WAS,2011,63,11,1112,13,23.1,334,42.5,91,68.10000000000001,79,169,25,27,32,51,115,10.1,17.4,0.016,-1.1
Amir Johnson,PF,23,TOR,2011,72,54,1853,1,0,494,56.89999999999999,160,78.8,189,272,81,53,88,69,263,17.6,15.3,0.146,2.2
Armon Johnson,PG,21,POR,2011,38,0,277,12,41.699999999999996,89,46.1,22,59.099999999999994,11,25,45,5,1,38,31,9.3,25.1,-0.044,-0.3
James Johnson,SF,23,CHI,2011,13,0,123,9,22.2,32,46.9,13,46.2,6,18,14,8,9,18,25,8.8,24.2,-0.014,0
James Johnson,SF,23,TOR,2011,25,25,699,25,24,171,49.7,58,70.7,31,87,75,25,28,46,70,13.2,17.1,0.044,0.4
Joe Johnson,SG,29,ATL,2011,72,72,2554,300,29.7,861,49.4,243,80.2,59,232,338,47,7,146,131,16.4,26.3,0.08,1.2
Trey Johnson,SG,26,TOR,2011,7,0,81,3,33.300000000000004,27,33.300000000000004,8,87.5,2,5,11,1,1,5,11,7,21.3,-0.048,-0.1
Wesley Johnson,SG,23,MIN,2011,79,63,2069,289,35.6,393,42.699999999999996,92,69.6,51,189,148,58,54,95,163,10.2,16.8,0.03,0.2
Dahntay Jones,SG,30,IND,2011,45,2,589,39,35.9,175,49.1,90,76.7,4,61,33,20,7,31,70,13.7,21.4,0.102,-0.2
Dominique Jones,SG,22,DAL,2011,18,0,135,4,0,41,34.1,17,82.39999999999999,6,19,19,5,3,10,7,10.6,21.7,0.007,0
James Jones,SF,30,MIA,2011,81,8,1549,287,42.9,59,39,72,83.3,23,137,43,29,19,21,129,11.1,12,0.145,1.1
Solomon Jones,C,26,IND,2011,39,0,528,1,0,120,40.8,62,66.10000000000001,45,68,30,12,22,35,94,8.5,15.4,0.042,-0.1
DeAndre Jordan,C,22,LAC,2011,80,66,2047,1,0,340,68.8,217,45.2,207,368,42,41,142,101,255,14.8,11.7,0.122,1.7
Jason Kapono,SF,29,PHI,2011,24,2,112,8,12.5,20,30,2,50,3,8,4,2,1,2,4,1.6,12.7,-0.07,-0.2
Jason Kidd*,PG,37,DAL,2011,80,80,2653,391,34,205,40,77,87,35,316,655,134,29,179,119,14.4,14.3,0.116,3.4
Andrei Kirilenko,SF,29,UTA,2011,64,62,1999,98,36.7,444,48.9,270,77,100,227,192,81,74,117,113,16.6,17.8,0.109,2.1
Linas Kleiza,SF,26,TOR,2011,39,23,1032,131,29.799999999999997,275,50.5,65,63.1,37,140,40,19,7,65,99,10.1,21.7,-0.012,-0.7
Kyle Korver,SG,29,CHI,2011,82,0,1649,289,41.5,268,45.5,87,88.5,12,138,124,35,20,60,156,13,18.3,0.149,0.8
Kosta Koufos,C,21,MIN,2011,39,1,336,2,0,106,44.3,24,50,42,55,7,8,20,25,50,10.4,18.2,-0.004,-0.3
Carl Landry,PF,27,SAC,2011,53,16,1406,3,0,481,49.5,215,72.1,127,126,50,30,20,82,125,14.7,20.3,0.086,0
Carl Landry,PF,27,NOH,2011,23,10,602,1,0,202,53,73,79.5,38,56,13,10,12,27,71,15.2,20.8,0.125,0
Acie Law,PG,26,MEM,2011,11,0,94,6,0,13,23.1,10,60,3,8,14,4,0,10,10,0.4,16,-0.138,-0.1
Acie Law,PG,26,GSW,2011,40,0,632,30,20,137,52.6,54,75.9,9,43,70,28,0,33,51,11.3,15.6,0.052,-0.4
Ty Lawson,PG,23,DEN,2011,80,31,2103,171,40.400000000000006,517,53.6,225,76.4,67,142,377,80,4,137,133,17.9,19.6,0.153,2.1
Courtney Lee,SG,25,HOU,2011,81,1,1723,174,40.8,402,45.300000000000004,120,79.2,51,158,100,58,18,68,102,12.6,17.9,0.076,0.2
David Lee,PF,27,GSW,2011,73,73,2634,3,33.300000000000004,975,50.8,267,78.7,217,497,233,74,31,170,211,17.8,21.2,0.11,1.5
Rashard Lewis,PF,31,ORL,2011,25,25,810,120,36.7,150,46,45,75.6,23,83,29,22,10,35,63,11,18.6,0.091,0.4
Rashard Lewis,SF,31,WAS,2011,32,27,1014,124,34.699999999999996,188,51.1,51,84.3,48,136,63,30,20,52,96,12.8,16.8,0.07,0.5
Jeremy Lin,PG,22,GSW,2011,29,0,285,5,20,67,40.300000000000004,25,76,12,22,42,33,9,18,31,14.8,15.6,0.078,0.2
Shaun Livingston,PG,25,CHA,2011,73,0,1261,4,25,393,46.800000000000004,125,86.4,29,120,164,47,29,88,109,14.3,20.1,0.073,0
Brook Lopez,C,22,NJN,2011,82,82,2889,1,0,1308,49.2,489,78.7,197,291,129,47,120,176,240,19.3,27.3,0.105,1.5
Kevin Love,PF,22,MIN,2011,73,73,2611,211,41.699999999999996,815,48.3,499,85,330,782,184,45,28,155,148,24.3,22.9,0.21,3.8
Kyle Lowry,PG,24,HOU,2011,75,71,2563,343,37.6,466,46.400000000000006,251,76.5,89,220,500,102,23,158,207,16.5,18.6,0.13,3
John Lucas III,PG,28,CHI,2011,2,0,10,1,0,2,50,2,0,0,0,1,0,0,0,0,-0.1,17.8,-0.121,0
Corey Maggette,SF,31,MIL,2011,67,18,1401,78,35.9,481,46.800000000000004,325,83.39999999999999,44,197,84,21,5,127,175,15.8,27.7,0.115,-0.2
Ian Mahinmi,C,24,DAL,2011,56,0,488,2,0,96,57.3,82,76.8,43,77,8,14,15,25,105,13.7,15.3,0.177,0.2
Shawn Marion,SF,32,DAL,2011,80,27,2253,33,15.2,801,53.6,164,76.8,168,383,110,68,50,130,144,17,21.5,0.12,1.8
Sean Marks,C,35,POR,2011,29,0,208,2,100,42,40.5,8,62.5,16,24,4,3,5,11,44,4.9,13.1,0.019,-0.2
Cartier Martin,SF,26,WAS,2011,52,1,542,99,39.4,83,38.6,40,70,20,54,18,18,6,16,52,11.7,17.6,0.071,-0.1
Kenyon Martin,PF,33,DEN,2011,48,48,1233,9,22.2,353,51.800000000000004,72,58.3,67,230,109,43,35,59,136,14.1,16.4,0.104,1.2
Kevin Martin,SG,27,HOU,2011,80,80,2603,459,38.3,808,46.7,669,88.8,28,230,198,80,15,184,155,21.4,29.6,0.175,2.3
Roger Mason,SG,30,NYK,2011,26,0,319,44,36.4,33,30.3,10,70,5,38,20,6,2,6,25,7.1,12.2,0.029,-0.2
Wesley Matthews,SG,24,POR,2011,82,69,2758,378,40.699999999999996,601,47.599999999999994,315,84.39999999999999,48,210,164,102,9,138,195,15.5,21.3,0.126,2.1
Eric Maynor,PG,23,OKC,2011,82,0,1200,96,38.5,237,40.9,59,72.89999999999999,25,96,238,35,6,77,96,11.7,16.5,0.061,-0.4
O.J. Mayo,SG,23,MEM,2011,71,17,1869,264,36.4,483,43.1,131,75.6,35,135,145,73,26,99,127,12.6,21.8,0.062,0.4
Luc Mbah a Moute,PF,24,MIL,2011,79,52,2093,7,0,421,47,188,70.7,169,251,68,72,28,77,180,11.5,13.1,0.109,1
Antonio McDyess,PF,36,SAS,2011,73,16,1387,1,0,343,49.3,77,67.5,122,273,84,36,39,72,163,12.8,14.9,0.105,0.7
JaVale McGee,C,23,WAS,2011,79,75,2193,3,0,601,55.2,230,58.3,223,411,38,41,193,102,232,17.4,16.3,0.115,1
Tracy McGrady*,SG,31,DET,2011,72,39,1686,88,34.1,426,46.2,129,69.8,49,202,252,66,34,102,101,14.9,18.6,0.061,0.7
Dominic McGuire,SF,25,CHA,2011,52,8,760,2,0,180,40,39,76.9,63,136,43,10,33,25,94,10.4,13.8,0.059,-0.1
Josh McRoberts,PF,23,IND,2011,72,51,1597,60,38.3,326,57.699999999999996,119,73.9,109,273,150,47,57,93,165,16,14.7,0.147,2
Jodie Meeks,SG,23,PHI,2011,74,64,2062,348,39.7,222,46.800000000000004,170,89.4,21,150,78,63,4,60,97,12.6,15.7,0.12,1.4
C.J. Miles,SF,23,UTA,2011,78,19,1969,339,32.2,560,45.9,196,81.10000000000001,54,201,135,74,38,93,221,14.4,25.1,0.061,0.2
Andre Miller,PG,34,POR,2011,81,81,2650,37,10.8,807,47.599999999999994,292,85.3,97,205,566,114,12,197,171,17.8,20.6,0.127,2.1
Brad Miller,C,34,HOU,2011,60,5,1015,107,37.4,189,48.699999999999996,94,83,44,178,145,28,21,54,98,16.3,17,0.142,0.9
Mike Miller,SG,30,MIA,2011,41,2,838,118,36.4,84,45.2,34,67.60000000000001,38,146,51,20,2,41,88,9.7,14.4,0.09,0.3
Patty Mills,PG,22,POR,2011,64,0,783,133,35.3,195,45.1,47,76.6,19,32,109,27,1,62,63,13,24.5,0.044,-0.3
Paul Millsap,PF,25,UTA,2011,76,76,2605,23,39.1,965,53.5,338,75.7,164,415,187,103,69,145,272,19.8,22.6,0.143,2.9
Nazr Mohammed,C,33,CHA,2011,51,30,851,1,0,316,50.3,88,59.099999999999994,94,158,17,14,46,51,121,15.9,22.4,0.08,-0.5
Greg Monroe,C,20,DET,2011,80,48,2222,1,0,549,55.2,233,62.2,248,353,105,93,45,81,196,18,15.4,0.143,2.5
Jamario Moon,SF,30,CLE,2011,40,13,764,95,28.4,94,52.1,11,90.9,14,104,45,25,27,17,39,10.7,12.5,0.043,0.1
Jamario Moon,SF,30,LAC,2011,19,7,278,28,39.300000000000004,31,45.2,6,83.3,9,38,7,3,6,5,26,8.4,10.7,0.068,-0.1
Anthony Morrow,SG,25,NJN,2011,58,47,1856,260,42.3,360,46.9,107,89.7,37,135,68,19,7,54,135,12.1,18,0.078,0.4
Troy Murphy,PF,30,NJN,2011,18,4,288,23,17.4,53,41.5,17,52.900000000000006,11,64,17,7,2,13,28,6.7,15.6,-0.022,-0.3
Troy Murphy,PF,30,BOS,2011,17,0,178,10,10,28,53.6,13,84.6,11,27,6,8,1,7,19,10.1,13.7,0.111,0
Eduardo Najera,PF,34,CHA,2011,31,0,372,34,32.4,38,39.5,11,54.50000000000001,14,30,20,11,6,13,52,5.5,11.3,0.02,-0.1
Steve Nash*,PG,36,PHO,2011,75,75,2497,205,39.5,606,52.5,249,91.2,40,220,855,48,4,265,87,20.8,21.4,0.153,1.6
Gary Neal,SG,26,SAS,2011,80,1,1685,308,41.9,324,48.1,104,80.80000000000001,21,175,96,27,4,78,148,13.1,20.6,0.099,0.4
Jameer Nelson,PG,28,ORL,2011,76,76,2319,297,40.1,541,47.099999999999994,162,80.2,37,189,456,75,3,194,209,15.4,22,0.136,2.1
Joakim Noah,C,25,CHI,2011,48,48,1576,1,0,401,52.6,188,73.9,182,316,107,48,72,90,156,18.8,16.8,0.205,2.8
Andres Nocioni,SF,31,PHI,2011,54,17,931,118,35.6,159,47.8,61,80.30000000000001,19,150,45,14,15,47,100,10.1,17.4,0.067,-0.2
Steve Novak,SF,27,SAS,2011,23,0,197,42,54.800000000000004,17,47.099999999999994,8,100,4,19,3,1,5,4,11,17.7,15.5,0.195,0.2
Dirk Nowitzki,PF,32,DAL,2011,73,73,2504,168,39.300000000000004,1011,53.800000000000004,443,89.2,50,463,190,38,47,137,172,23.4,28.2,0.213,3.7
Jermaine O'Neal,C,32,BOS,2011,24,10,431,1,0,108,46.300000000000004,43,67.4,25,63,12,2,30,27,65,9.2,17.2,0.065,-0.1
Lamar Odom,PF,31,LAL,2011,82,35,2639,178,38.2,715,56.599999999999994,246,67.5,175,535,249,47,61,139,200,19.4,19.7,0.184,3.8
Emeka Okafor,C,28,NOH,2011,72,72,2287,1,0,523,57.4,258,56.2,230,454,42,40,127,119,230,16,15.8,0.136,1.6
Mehmet Okur,C,31,UTA,2011,13,0,168,16,31.3,46,37,20,75,9,21,19,4,4,7,18,12.6,21.2,0.048,0
Travis Outlaw,SF,26,NJN,2011,82,55,2358,252,30.2,479,41.3,171,77.2,54,271,84,34,36,71,148,8.8,17.3,0.016,-0.9
Larry Owens,SF,28,SAS,2011,7,0,31,3,33.300000000000004,3,66.7,4,50,0,4,1,2,0,0,4,11.9,11.5,0.151,0
Larry Owens,SF,28,WAS,2011,5,0,112,10,50,16,43.8,5,40,1,10,7,7,5,5,14,11,13.1,0.064,0
Anthony Parker,SF,35,CLE,2011,72,65,2091,227,37.9,325,41.199999999999996,95,77.9,33,185,218,67,10,80,109,10.5,14.6,0.034,0.2
Tony Parker,PG,28,SAS,2011,78,78,2528,70,35.699999999999996,999,53.1,303,76.9,30,208,513,90,3,200,135,20.4,25.5,0.156,2.4
Patrick Patterson,PF,21,HOU,2011,52,6,868,2,0,265,56.2,42,71.39999999999999,86,114,41,17,37,31,77,16.7,16.1,0.134,0.5
Chris Paul,PG,25,NOH,2011,80,80,2880,183,38.800000000000004,745,48.199999999999996,384,87.8,38,289,782,188,5,177,196,23.7,21.1,0.232,6.1
Sasha Pavlovic,SF,27,DAL,2011,10,6,163,16,43.8,19,42.1,5,80,0,12,7,5,3,5,15,7.8,12.1,0.067,0
Sasha Pavlovic,SG,27,BOS,2011,17,0,149,10,50,16,43.8,5,40,1,13,3,5,0,6,15,5.1,11,0.051,0
Johan Petro,C,25,NJN,2011,77,1,893,4,0,286,45.1,28,53.6,62,150,44,34,34,46,178,9.9,18.1,0.024,-0.3
Paul Pierce,SF,33,BOS,2011,80,80,2774,297,37.4,724,54.7,449,86,34,396,260,80,51,171,231,19.7,24,0.201,4.7
Mickael Pietrus,SF,28,ORL,2011,19,0,418,87,39.1,28,39.300000000000004,6,50,6,44,10,10,3,14,35,8.3,14.6,0.082,0.2
Mickael Pietrus,SG,28,PHO,2011,38,4,689,149,34.2,101,46.5,51,70.6,9,67,23,19,18,25,66,10.8,19.5,0.039,0
Quincy Pondexter,SF,22,NOH,2011,66,6,734,50,36,130,42.3,34,70.6,23,65,28,17,10,16,63,8.5,13.7,0.06,-0.1
James Posey,SF,34,IND,2011,49,0,839,212,31.6,29,48.3,15,73.3,10,137,34,24,6,24,103,7.5,14.3,0.056,0
Leon Powe,C,27,MEM,2011,16,0,141,2,0,58,51.7,46,60.9,8,17,5,3,1,7,24,17.8,27.9,0.142,-0.1
Josh Powell,PF,28,ATL,2011,54,0,653,1,0,207,45.4,45,80,49,86,22,5,5,53,78,8,20.4,-0.012,-1
A.J. Price,PG,24,IND,2011,50,0,795,149,27.500000000000004,171,42.699999999999996,81,66.7,16,56,111,29,1,53,61,10.7,22.7,0.02,-0.3
Ronnie Price,SG,27,UTA,2011,59,0,717,69,28.999999999999996,141,38.3,39,74.4,22,39,56,42,5,55,106,5.5,18,-0.048,-0.6
Tayshaun Prince,SF,30,DET,2011,78,78,2562,98,34.699999999999996,903,48.6,168,70.19999999999999,78,251,215,30,41,82,90,15.1,21,0.062,0.2
Chris Quinn,PG,27,SAS,2011,41,0,292,37,29.7,54,40.699999999999996,8,50,3,22,42,5,1,12,29,7.5,16.8,0.024,-0.2
Vladimir Radmanovic,PF,30,GSW,2011,74,6,1169,173,40.5,145,46.2,34,88.2,64,148,79,44,44,57,157,12.6,14.7,0.086,0.6
Anthony Randolph,PF,21,NYK,2011,17,0,127,4,25,41,31.7,12,50,11,29,7,4,8,10,15,7.6,21.1,-0.074,-0.2
Zach Randolph,PF,29,MEM,2011,75,74,2724,43,18.6,1145,51.5,396,75.8,326,588,163,63,25,151,175,22.6,25,0.185,3.1
Andy Rautins,SG,24,NYK,2011,5,0,24,4,25,3,66.7,2,50,0,1,3,1,0,7,0,-1.2,27.5,-0.314,-0.1
Michael Redd,SG,31,MIL,2011,10,0,134,17,23.5,28,50,4,100,0,8,12,2,1,4,4,9.7,17.7,0.048,-0.1
J.J. Redick,SG,26,ORL,2011,59,5,1513,219,39.7,228,48.199999999999996,128,87.5,6,107,102,29,3,53,80,12.8,17,0.142,1
Jason Richardson,SG,30,PHO,2011,25,25,796,148,41.9,241,50.2,72,76.4,33,78,36,27,3,30,46,19.1,25.5,0.117,0.7
Jason Richardson,SG,30,ORL,2011,55,55,1919,331,38.4,336,48.199999999999996,87,70.1,34,186,111,66,10,65,116,13.2,18.6,0.125,2.2
Quentin Richardson,SF,30,ORL,2011,57,19,955,146,28.799999999999997,109,41.3,44,75,39,139,38,25,5,33,74,8.1,14.9,0.067,0.1
Luke Ridnour,PG,29,MIN,2011,71,66,2159,184,44,497,47.9,137,88.3,37,162,384,89,10,158,146,15,17.8,0.089,0.9
Nate Robinson,PG,26,BOS,2011,55,11,983,192,32.800000000000004,169,49.1,40,82.5,15,74,105,29,4,66,107,10.2,21.7,0.054,0.2
Nate Robinson,PG,26,OKC,2011,4,0,30,8,25,7,28.599999999999998,4,75,0,1,6,0,0,2,8,3.3,28.4,-0.063,-0.1
Rajon Rondo,PG,24,BOS,2011,68,68,2527,43,23.3,627,49.1,132,56.8,87,210,760,153,11,234,120,17.1,18.3,0.126,2.5
Derrick Rose,PG,22,CHI,2011,81,81,3026,385,33.2,1212,48.1,555,85.8,81,249,623,85,51,278,136,23.5,32.2,0.208,6
Quinton Ross,SF,29,NJN,2011,36,4,353,3,0,56,46.400000000000006,14,35.699999999999996,10,20,10,3,6,7,40,3.7,9.5,-0.007,-0.3
Brandon Roy,SG,26,POR,2011,47,23,1310,114,33.300000000000004,409,41.8,138,84.8,28,93,129,37,12,55,76,13.9,22.8,0.077,0
Brandon Rush,SG,25,IND,2011,67,21,1754,223,41.699999999999996,292,42.5,106,75.5,33,184,62,41,35,69,107,10.6,15.9,0.07,0.4
John Salmons,SG,31,MIL,2011,73,70,2554,219,37.9,679,42.699999999999996,240,81.3,27,239,252,72,28,137,157,12.8,20.9,0.081,1.2
Samardo Samuels,PF,22,CLE,2011,37,10,701,3,0,238,46.2,110,61.8,75,83,17,15,18,53,88,11.7,22.1,0.002,-0.7
Luis Scola,PF,30,HOU,2011,74,74,2412,3,0,1126,50.5,290,73.8,147,459,185,48,44,147,227,18.4,25.7,0.11,1.1
Thabo Sefolosha,SG,26,OKC,2011,79,79,2049,102,27.500000000000004,231,55.800000000000004,79,74.7,65,281,111,97,38,55,171,10.4,9.4,0.097,2
Ramon Sessions,PG,24,CLE,2011,81,38,2133,15,20,761,47.199999999999996,423,82.3,46,209,419,60,8,178,93,19,24.2,0.099,0.8
Mustafa Shakur,PG,26,WAS,2011,22,0,159,10,10,49,40.8,15,53.300000000000004,7,15,25,5,3,18,15,6.8,23.2,-0.112,-0.2
Craig Smith,PF,27,LAC,2011,48,0,586,5,0,183,56.8,68,73.5,43,74,31,16,7,33,84,15.4,19.1,0.12,0
Ish Smith,PG,22,HOU,2011,28,3,329,8,37.5,75,38.7,10,70,6,36,64,13,2,26,26,8.8,15.2,0.002,-0.3
Ish Smith,PG,22,MEM,2011,15,0,113,2,0,30,36.7,11,45.5,1,4,15,5,0,8,11,4.3,17.9,-0.066,-0.2
J.R. Smith,SF,25,DEN,2011,79,6,1968,318,39,466,46.6,221,73.8,45,277,175,92,16,100,173,16.4,22.2,0.121,1.9
Jason Smith,C,24,NOH,2011,77,6,1102,2,0,305,44.6,70,84.3,89,152,36,26,32,53,150,10.8,16.9,0.07,-0.2
Josh Smith,PF,25,ATL,2011,77,77,2645,154,33.1,887,50.3,316,72.5,134,523,255,99,120,197,217,19.2,24.7,0.116,3.4
Marreese Speights,C,23,PHI,2011,64,1,734,4,25,287,49.8,73,75.3,64,146,30,8,19,40,120,15.3,22.8,0.11,-0.4
Tiago Splitter,C,26,SAS,2011,60,6,738,1,0,190,53.2,140,54.300000000000004,72,129,26,29,17,32,91,16,17.7,0.149,0.2
Jerry Stackhouse,SG,36,MIA,2011,7,1,50,4,25,8,25,7,71.39999999999999,1,6,3,0,2,2,3,6,16,0.005,-0.1
Lance Stephenson,SG,20,IND,2011,12,0,115,5,0,34,38.2,14,78.60000000000001,1,17,21,4,0,16,14,5.5,23.5,-0.093,-0.2
DeShawn Stevenson,SG,29,DAL,2011,72,54,1158,249,37.8,81,42,43,76.7,20,86,77,21,5,44,71,9.8,15.9,0.074,0.5
